Masa Salarial per Capita ,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,I Trim.2018,IITrim.2018,IIITrim.2018,IV Trim.2018
Buenos Aires,"872,620026414998","828,727766848853","988,561444690047","1273,91257576618","1656,02308027733","2185,82043826925","2820,92759117339","3852,06133491636","4538,00543765428","5727,91562810275","7825,298866301","10248,5864730706","12918,2956264287","16729,8886658382","22180,7296368071","29258,6749966141","37587,2040957953","40939,1274653023","47832,5637595466","43767,9451802725","56047,2606380917"
   GBA,"937,603751656107","835,780315707127","967,777331140219","1341,77265545229","1616,31153456597","2222,48867591986","2672,24172324124","3650,42684883328","4902,63974102369","5384,64306927427","7306,10960847913","9498,96523079707","11922,6200219025","15256,2919908992","20210,5053999377","26629,4368503629","33876,3767160862","36651,9825813564","43115,5693861362","38928,6311897433","50293,6095475649"
   Interior Bs As,"791,205221300394","818,470060936451","1020,55360363943","1186,22164796835","1717,35025000446","2135,06588484233","3069,74462404928","4189,13402349356","4093,49517304422","6323,58186438848","8729,73654859057","11559,3809695362","14665,7035793247","19325,1733856599","25662,4738925984","33920,2801336689","44187,3543997342","48587,7386262963","56248,0609698033","52401,6704220115","66312,2367792675"
CABA,"5242,94200863296","4852,56878564275","5477,42671190784","6765,02059422987","8570,09833848204","11079,9828478568","14442,8767303694","19431,5695751079","23092,3279170469","29331,5807772202","39410,2725324581","50713,9036978947","63928,5986732904","83909,0836448602","111979,990432944","149768,027481272","196014,525985601","222723,780957877","254995,467366142","234057,006713008","299006,611275897"
Catamarca,"408,822817402107","384,221253551892","459,497695009074","600,307701701203","840,536125795743","1063,58002186874","1366,86973927302","1799,18505641794","2045,73369054413","2811,27707567335","3697,69572211655","4840,20546869561","6261,98620524773","8210,14865869431","10786,6090591195","13404,2172871644","18236,1803290289","18604,0457086732","22392,3264802775","20419,7686391429","25933,3143473812"
Chaco ,"293,408068418286","254,283113918149","306,163367050635","397,416264002176","544,427160663527","686,484887274573","909,637464719105","1256,97909295445","1561,81598402913","2022,10235354008","2912,4665378789","3885,70871433142","5055,74096995784","6853,9077925908","9122,88409953479","12122,4903899714","16048,5667675198","16927,5854088449","20640,8948778434","18374,7132112976","23037,4437374774"
Chubut,"1665,19227688547","1812,77092198927","2328,8499796562","3045,10172279936","4160,67757438971","6039,30111020713","8017,58427867419","11235,8278192311","13040,0930421231","15373,6351716243","21225,8837379645","26052,1288004559","31576,2353352367","42409,1523174506","55487,8448788308","67094,9423675528","83823,0037470552","88078,5033438287","103472,54350739","101083,842762561","127766,585640529"
Cordoba,"805,674117288624","741,794342288619","915,052749348385","1201,60799195854","1594,66059957382","2152,60056419264","2817,41891982167","3900,39739571223","4552,874481464","6026,43079679823","8327,61795618544","10825,6805262725","13795,2032887744","17895,6757394243","23435,1450405144","30943,1558199581","40637,1769964602","44256,0785908038","52182,3850489845","47863,571999371","60912,5497660634"
Corrientes,"340,223224128972","311,827836695943","398,328129069414","494,614195205449","675,380195242764","900,728853122241","1147,66160109386","1559,11118994265","1831,89712820973","2337,63726277429","3244,25422627447","4276,27256783568","5498,31265930533","7193,4050569689","9741,71676231421","12903,3722052252","16755,0679414364","17959,9141088117","21657,5987403811","19963,2743219084","25327,5173806561"
Entre Rios,"499,853542998217","468,90671024669","580,763003637147","782,510495855169","1021,4798878819","1356,73523513327","1775,82861687337","2439,82605825051","2920,38955786463","3871,3549576244","5367,2028134971","7028,15290168307","8905,16406542463","11711,9282156134","15453,0422015689","20238,3029692491","26073,1080766891","27915,149099046","32981,306672666","30253,291886676","39696,0936894073"
