Pobreza e Indigencia,,,,,,,,,,,,,,,,,,,,,,,,,
,,II- Semestre 2016 ,,,,I- Semestre 2017,,,,II- Semestre 2017,,,,I- Semestre 2018,,,,II- Semestre 2018,,,,I- Semestre 2019,,,
,, Pobreza ,,Indigencia,, Pobreza ,,Indigencia,, Pobreza ,,Indigencia,, Pobreza ,,Indigencia,, Pobreza ,,Indigencia,, Pobreza ,,Indigencia,
Provincia,Aglomerado,Hogares,Personas, Hogares,Personas,Hogares,Personas, Hogares,Personas,Hogares,Personas, Hogares,Personas,Hogares,Personas, Hogares,Personas,Hogares,Personas, Hogares,Personas,Hogares,Personas, Hogares,Personas
Buenos Aires,Buenos Aires Promedio,"24,3243604138641%","33,270843411915%","5,48988604024679%","7,2233208042127%","23,6849729984106%","31,7958853313216%","5,69109535794119%","7,68400430250762%","20,3042563690662%","28,4747959451769%","4,24433342893717%","5,72258841732063%","23,0692808286619%","30,7004257604475%","4,65890930475052%","6,07166723503907%","26,9197465907679%","34,7875686280742%","6,15847732736586%","8,22855952122371%","28,8755695343129%","38,4434082905704%","6,55699747222478%","8,75068597382883%"
Ciudad Autonoma de Buenos Aires,CABA,"6,80848456311337%","9,47980253020578%","2,01430971815951%","2,2928642530329%","8,24299462852424%","13,3570117763886%","2,213855829689%","2,6164440537877%","5,63445953447064%","8,99991071179061%","1,63564371091293%","2,45406257944776%","6,86146732142829%","11,1781264890128%","2,25329155411951%","2,1820318900842%","8,12353968084053%","12,6261733155254%","1,70783395079564%","2,54228687702482%","8,43883832506386%","14,335995451242%","2,84283951455606%","4,83635883133758%"
Catamarca,Gran Catamarca,"25,671699302904%","35,4460808892096%","4,17031561985498%","5,46056053570006%","22,2699755844677%","29,7220036594393%","3,49008328037727%","3,49788395014596%","19,9352059162765%","27,5557715449412%","4,75608928692584%","5,90946959178006%","19,8924645404215%","26,2801336511998%","3,1526716339327%","3,67264660671386%","26,8617453151895%","35,5231366232245%","5,18008508979897%","6,55613925904232%","31,1484655272351%","40,1364535716722%","4,44910939482713%","5,13292852107071%"
Chaco ,Gran resistencia,"25,0351224705277%","34,5018874032151%","3,72254557195089%","4,38070724104985%","25,5294712572746%","34,6990554008691%","3,82607801290787%","5,15990527986677%","30,0494794899534%","39,1901989476634%","6,77195098160924%","8,81150305634256%","22,5300765585126%","28,7993915074936%","4,3417070089615%","5,87459155716647%","31,495437647854%","41,383375858128%","7,45691111862116%","10,6249209915974%","36,185739728922%","46,9314835097968%","11,8755094032058%","15,9043446513326%"
Chubut,Chubut Promedio,"15,0901133739964%","20,411774167605%","1,961645818257%","2,38875296654053%","15,5320566479321%","20,5561444677834%","2,32587935835455%","2,6333233575642%","12,6019552023242%","17,5622411814599%","1,5419550353556%","1,74679993569381%","14,3617632101317%","19,7214029899154%","1,89477828633299%","2,65073950794755%","20,2063559560009%","27,0618353146234%","3,01911921629666%","3,46855127524272%","24,0874799357945%","32,2525223376512%","3,57544141252006%","4,53139027831217%"
Cordoba,Cordoba Promedio,"28,3870565610901%","39,3394593703643%","7,25818131153972%","10,4120064046716%","21,4632967103287%","30,4442889165658%","4,63223831675196%","7,53911940062971%","22,8577881186351%","33,2094539679793%","3,7512451921141%","5,30993424414682%","20,4997906047946%","30,0580588234608%","4,03366666326187%","5,49087738643212%","23,5040171869864%","35,7369899553649%","4,74912489368263%","7,54794030377876%","25,1620447711326%","36,3171145261859%","5,69478783828934%","9,12310072888247%"
Corrientes,Corrientes,"29,7750229568411%","39,4578705663942%","5,33305078759624%","6,51103583797457%","31,7938655920601%","39,9615203774462%","6,96147957836944%","9,26024006528565%","28,9417894358606%","36,9408629646578%","5,22817103844772%","7,14785604694355%","29,5061503868792%","36,8105576658616%","3,53977911513789%","4,5861402488225%","38,3813747228381%","49,3407984108676%","10,3121951219512%","13,7770195224059%","33,0793800161058%","41,4293727784852%","8,76772319691637%","11,2287352685491%"
Entre Rios,Entre Rios Promedio,"20,8433981941189%","30,6609724729724%","2,77567319434169%","4,4924255615532%","21,5596248484416%","30,2908004633299%","3,69891591184652%","5,82759251356459%","16,2986059216121%","24,3818942563712%","2,84914233686362%","4,03012552301255%","19,2822060735067%","26,9712793733681%","5,07550445349781%","7,23692998967758%","23,9720660288812%","33,5460423701864%","4,78683555639752%","6,97457485954844%","29,7100793630277%","40,7878368723908%","6,46601866452964%","9,29992627439165%"
