distribution_identifier,indice_tiempo,frec_temporal,alcance_tipo,alcance_id,alcance_nombre,pobl_proy,tasa_mort_gral,tasa_nat,tasa_mort_mat,tasa_mort_inf,alum_comun_inic,alum_comun_pri,alum_comun_sec_bas,alum_comun_sec_or,alum_comun_sup_nouniv,alum_comun_tot,dep_priv_monlocyext,dep_publ_monlocyext,prest_priv_monlocyext,prest_publ_monlocyext,rt_origenprov,recursos_ctes,gasto_tot,resultado_financiero,pbg_base1993_constantes,pbg_base1993_corrientes,pbg_base2004_constantes,pbg_base2004_corrientes,empleo_tot,empleo_sector_a,empleo_sector_b,empleo_sector_ab,empleo_sector_c,empleo_sector_d,empleo_sector_e,empleo_sector_f,empleo_sector_g,empleo_sector_h,empleo_sector_i,empleo_sector_j,empleo_sector_k,empleo_sector_m,empleo_sector_n,empleo_sector_o,empleo_sector_serv,expo_fob_102A,expo_fob_102B,expo_fob_104B,expo_fob_104C,expo_fob_105A,expo_fob_105B,expo_fob_105C,expo_fob_106A,expo_fob_106B,expo_fob_106ZF,expo_fob_107A,expo_fob_108A,expo_fob_111,expo_fob_111A,expo_fob_111BA,expo_fob_111Z,expo_fob_201AA,expo_fob_201AE,expo_fob_206A,expo_fob_208AA,expo_fob_210A,expo_fob_210D,expo_fob_211A,expo_fob_212AE,expo_fob_213A,expo_fob_214B,expo_fob_299,expo_fob_302A,expo_fob_302B,expo_fob_302C,expo_fob_302F,expo_fob_302J,expo_fob_306A,expo_fob_306C,expo_fob_310A,expo_fob_311AZ,expo_fob_311C,expo_fob_312AL,expo_fob_312B,expo_fob_313BB,expo_fob_314A,expo_fob_314B,expo_fob_399Z,expo_fob_401,expo_fob_402A,expo_fob_402Z,expo_fob_404A,expo_fob_499,per_bajo_pob,per_bajo_ind,sal_bru_prom
99.1,1996-12-31,anual,PAIS,200,Argentina,,7.6,19.2,4.7,20.9,,,,,,,,,,,,,,,,,,,3510489,238935.5,9017,247952.5,35063,905793.75,44923,198928.5,541142.75,106170.25,289321.25,124244,439085,163273.25,170189.25,244402.5,1536685.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,1997-12-31,anual,PAIS,200,Argentina,,7.6,19.4,3.8,18.8,,,,,,,,,,,,,,,,,,,3821398.75,257153.5,10026.75,267180.25,37946.25,945145,46125.25,246474.25,586835.75,113391.75,324064,134926,489556.25,197666,176033.75,256054.25,1691692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,1998-12-31,anual,PAIS,200,Argentina,,7.8,18.9,3.8,19.1,,,,,,,,,,,,,,,,,,,4083316,262030,9936,271966,39331,961055.5,48234,270827,628274,120712,353320.25,145644.5,538223,260058.75,177659.75,268010.25,1863628.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,1999-12-31,anual,PAIS,200,Argentina,,7.9,18.8,4.1,17.6,,,,,,,,,,,,,,,,,,,4047419.75,257601.75,9407.5,267009.25,36067.75,912191.25,48858,273178.75,628840.75,120190,360572.5,149443.5,546871.25,269932.75,173653.25,260610.75,1881274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2000-12-31,anual,PAIS,200,Argentina,,7.5,19,3.5,16.6,,,,,,,,,,,,,,,,,,,3994682.25,253623.25,9317,262940.25,37566.5,869281.5,48928.25,235184.75,633172.75,122435.5,361664,147569.5,560893.75,280191.75,173910.5,260943.25,1907608.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2001-12-31,anual,PAIS,200,Argentina,,7.6,18.2,4.3,16.3,,,,,,,,,,,,,,,,,,,3919818.5,249365.25,10690.25,260055.5,38457.75,825852.75,48952.25,208822.25,635152.75,121004.25,354872.75,141679,558646.75,290124.5,174755.25,261442.75,1902525.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2002-12-31,anual,PAIS,200,Argentina,,7.7,18.3,4.6,16.8,,,,,,,,,,,,,,,,,,,3522962.25,234786.75,12795.5,247582.25,36037,742518.25,46695.75,124880.25,570893.5,109443.75,325634.5,125730.25,496055,289388.75,166927.5,241175.5,1754355.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2003-12-31,anual,PAIS,200,Argentina,,8,18.4,4.4,16.5,,,,,,,,,,,,,,,,,,,3727905,251433.5,14517.5,265951,39403.25,797106,46518.75,159513.5,595643.25,118020.25,331040,112917.25,540261.5,299990,167437.5,254102.75,1823769.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2004-12-31,anual,PAIS,200,Argentina,,7.7,19.3,4,14.4,,,,,,,,,,,,,,,,,,,4182702.75,276756,15493.5,292249.5,45032.5,898661.5,48462.25,217724.25,680303.75,136989.5,348044.75,116351.75,621580.75,318203.75,176915,282183.5,2000269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2005-12-31,anual,PAIS,200,Argentina,,7.6,18.5,3.9,13.3,,,,,,,,,,,21930.53946,74634.52313,75984.79046,2154.714132,,,,,4692077.5,301548,15660,317208,51499,989331.5,49919.25,298728.25,769166.25,161707.75,385836,123127,705757,337254.25,189540.75,313002.5,2216225.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
